hyrdraulic residence times	pH probe (pH)
1.217616259	3.698369503
1.218794044	3.661380291
1.219971422	3.673359871
1.221150561	3.656139851
1.222327745	3.662728548
1.223507067	3.637036562
1.223509397	3.637814283
1.225861131	3.659178972
1.227037919	3.625719786
1.228215561	3.629594326
1.229392746	3.567199469
1.23057047	3.651837349
1.231747237	3.63530016
1.232926376	3.635205269
1.234103164	3.596480608
1.235282302	3.649003506
1.23645792	3.602167845
1.237637129	3.650601149
1.238813917	3.639003515
1.239992404	3.615336418
1.241169253	3.641917944
1.242345573	3.652590752
1.243524762	3.594317913
1.24470155	3.609632254
1.245879508	3.592020273
1.247056296	3.618363619
1.248234833	3.610141993
1.249411652	3.584700108
1.250588409	3.569411516
1.251767547	3.594407797
1.252944661	3.617424488
1.254122344	3.560516596
1.255302093	3.627090931
1.25647653	3.600184441
1.257655669	3.592613936
1.258834858	3.579390764
1.258837208	3.578859091
1.261188728	3.580245018
1.262364336	3.597347021
1.263542711	3.56760335
1.26471953	3.589783669
1.26472187	3.59006381
1.267077775	3.625288963
1.268253393	3.569727898
1.269430181	3.595516682
1.270609737	3.578902245
1.271786311	3.602077723
1.272963099	3.577860355
1.274142237	3.56810379
1.275319025	3.58297658
1.27649743	3.632488966
1.277672987	3.641886234
1.278852125	3.580933332
1.280028913	3.66595602
1.281206881	3.626364708
1.28238369	3.554555655
1.28238603	3.554530859
1.28474162	3.613894701
1.285916058	3.560463667
1.287095196	3.533155918
1.288272035	3.558828592
1.28944928	3.557803392
1.290626068	3.505106211
1.291805206	3.542769432
1.292981994	3.587642908
1.294161133	3.585374117
1.295336934	3.5661695
1.296516072	3.494219542
1.297692961	3.489540815
1.298869749	3.502126217
1.300048908	3.494502544
1.301226143	3.521314383
1.302402931	3.504499197
1.303579719	3.53865552
1.304757677	3.704676867
1.305936846	3.605855227
1.307112576	3.591098547
1.308291714	3.602841616
1.309468502	3.509877443
1.310645646	3.59789443
1.31182398	3.510285854
1.31182633	3.510750055
1.314179194	3.565777779
1.315356297	3.536843538
1.316533085	3.518560648
1.317712223	3.492159843
1.317714584	3.492572784
1.320065962	3.529683352
1.3212451	3.612560034
1.32242201	3.492982388
1.323598839	3.582020044
1.323601179	3.581636429
1.325955528	3.544336557
1.327132316	3.533750296
1.328309104	3.525397062
1.329488272	3.526841164
1.330664256	3.539385319
1.331843476	3.470784903
1.333020264	3.484937191
1.334198222	3.511438131
1.33537504	3.479192734
1.335377391	3.479310274
1.337730804	3.489653349
1.338907591	3.460524082
1.340085651	3.499691248
1.34126308	3.47408247
1.342440356	3.443285465
1.343617144	3.465305805
1.344796618	3.515222073
1.345975756	3.50446558
1.347151669	3.504879952
1.34832863	3.491780043
1.349505906	3.538780451
1.350682898	3.481761932
1.351860622	3.540082216
1.35303979	3.541172981
